abundant	丰富的
accelerate	加速
adequate	足够的
appealed	上诉
appreciation	升值
arrange	安排
aspiration	愿望
asset	资产
barriers	障碍
boost	提高
bulk	散装
calculate	计算
charm	魅力
commence	开始
comment	评论
competent	主管
components	组件
condense	浓缩
confess	承认
consequently	因此
contest	比赛
coordinating	协调
deficit	赤字
deserved	应得的
destruction	破坏
distress	痛苦
efficiently	有效地
evidently	显然
exceed	超过
exposure	曝光
granted	授予
insight	洞察力
invest	投资
local	当地的
lodged	提出
obliged	有义务
precisely	精确的
presently	目前
proceed	继续进行
process	过程
promise	承诺
promote	促进
prospect	前景
recovery	复苏
spectacular	壮观的
speculate	推测
superficial	肤浅的
tedious	单调乏味的
tempting	诱人的
weird	奇怪的
